日時,種別,エラー内容
2024/04/03 23:38:53,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:38:34,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:33:13,アプリケーション,EXCEPTION
2024/04/03 23:33:03,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:32:53,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:32:43,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:32:33,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:32:27,アプリケーション,EXCEPTION
2024/04/03 23:32:18,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:31:57,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/04/03 23:31:38,サーバー,MASTER_WORK_FILE_READ_ERROR
2024/03/19 16:15:21,アプリケーション,EXCEPTION
2024/02/28 15:56:32,アプリケーション,EXCEPTION
2024/02/28 15:56:32,アプリケーション,EXCEPTION
2024/02/28 15:56:31,アプリケーション,EXCEPTION
2024/02/28 15:54:45,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:54:35,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:54:18,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:45:09,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:43:20,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:42:14,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:41:55,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:41:45,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:41:35,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:41:25,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:41:15,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:41:05,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:40:55,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:40:45,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/28 15:40:28,サーバー,PICKDATA_FILE_IS_NOT_EXIST_SERVER
2024/02/29 11:31:13,アプリケーション,既に仕分完了している商品です JANコード : 4903423603406
2024/02/29 11:31:12,アプリケーション,既に仕分完了している商品です JANコード : 4901306075111
2024/02/28 17:07:15,APPLICATION,既に仕分完了している商品です JANコード : 4901306075111
2024/02/21 01:50:41,APPLICATION,EXCEPTION
2024/02/21 01:48:30,APPLICATION,EXCEPTION
2024/02/21 01:46:20,APPLICATION,既に仕分完了している商品です JANコード : 4901577059438
2024/02/21 01:46:19,APPLICATION,既に仕分完了している商品です JANコード : 2300638200000
2024/02/20 18:50:06,APPLICATION,EXCEPTION
2024/02/20 22:39:33,APPLICATION,JANコードが見つかりません。仕分データに商品が存在することを確認してください JANコード : 2301767000000
2024/02/20 22:39:25,APPLICATION,JANコードが見つかりません。仕分データに商品が存在することを確認してください JANコード : 4901577059438
2024/02/20 22:39:03,APPLICATION,JANコードが見つかりません。仕分データに商品が存在することを確認してください JANコード : 2300638200000
2024/02/20 22:38:46,APPLICATION,EXCEPTION
2024/02/20 22:34:23,APPLICATION,JANコードが見つかりません。仕分データに商品が存在することを確認してください JANコード : 2300638200000
2024/02/20 22:33:57,APPLICATION,JANコードが見つかりません。仕分データに商品が存在することを確認してください JANコード : 4903009015678
2024/02/10 03:12:41,APPLICATION,JANコードが見つかりません。仕分データに商品が存在することを確認してください JANコード : 4560338756728
2024/02/10 03:12:38,APPLICATION,JANコードが見つかりません。仕分データに商品が存在することを確認してください JANコード : 4901306075111
2024/02/09 10:55:04,APPLICATION,EXCEPTION
2024/02/09 10:55:04,APPLICATION,EXCEPTION
2024/02/08 21:58:18,APPLICATION,EXCEPTION
2024/02/08 21:58:17,APPLICATION,EXCEPTION
2024/02/08 21:58:16,APPLICATION,EXCEPTION
2024/02/08 21:58:15,APPLICATION,EXCEPTION
2024/02/08 21:58:14,APPLICATION,EXCEPTION
2024/02/08 21:58:13,APPLICATION,EXCEPTION
2024/02/08 21:58:12,APPLICATION,EXCEPTION
2024/02/08 21:58:11,APPLICATION,EXCEPTION
2024/02/08 21:58:10,APPLICATION,EXCEPTION
2024/02/08 21:58:09,APPLICATION,EXCEPTION
2024/02/08 21:58:08,APPLICATION,EXCEPTION
2024/02/08 21:58:07,APPLICATION,EXCEPTION
2024/02/08 21:58:06,APPLICATION,EXCEPTION
2024/02/08 21:58:05,APPLICATION,EXCEPTION
2024/02/08 21:58:04,APPLICATION,EXCEPTION
2024/02/08 21:58:03,APPLICATION,EXCEPTION
2024/02/08 21:58:02,APPLICATION,EXCEPTION
2024/02/08 21:58:01,APPLICATION,EXCEPTION
2024/02/08 21:58:00,APPLICATION,EXCEPTION
2024/02/08 21:57:59,APPLICATION,EXCEPTION
2024/02/08 21:57:58,APPLICATION,EXCEPTION
2024/02/08 21:57:57,APPLICATION,EXCEPTION
2024/02/08 21:57:56,APPLICATION,EXCEPTION
2024/02/08 21:57:55,APPLICATION,EXCEPTION
2024/02/08 21:57:54,APPLICATION,EXCEPTION
2024/02/08 21:57:53,APPLICATION,EXCEPTION
2024/02/08 21:57:52,APPLICATION,EXCEPTION
2024/02/08 21:57:51,APPLICATION,EXCEPTION
2024/02/08 20:58:11,APPLICATION,EXCEPTION
2024/02/08 20:58:10,APPLICATION,EXCEPTION
2024/02/08 20:58:09,APPLICATION,EXCEPTION
2024/02/08 20:58:08,APPLICATION,EXCEPTION
2024/02/08 20:58:07,APPLICATION,EXCEPTION
2024/01/29 19:34:17,APPLICATION,EXCEPTION
2024/01/18 11:27:12,APPLICATION,EXCEPTION
2024/01/18 10:26:29,APPLICATION,JANコードが見つかりません。仕分データに商品が存在することを確認してください JANコード : 6601306075111
